Number;Name;Type;Quotations;Groups;Comment;Creator;Creation Date;Modifier;Modification Date;Origin
174;Arruabarrena et al. - 2017 - Racialethnic and socio-economic biases in child maltreatment severity assessment in Spanish child protectio.pdf;PDF;245;Appr: QT Quantitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Rev: Included, Subj: CF Case Factors, Tool: VT Vignettes Critical Incident Technique;"Aim/ Question: explore the influence on these judgements of the use of structured in- struments and professional experienceParticipants/ Sample: 405 CPS caseworkers and 169 students of social work and psychologyApproach: QuantitativeResearch tools: Vignettes; SurveyFindings: Biases related to family SES were found for students for the vignettes of physical abuse.Locality/ Context: Spain";Stefan Kleipoedszus;09/12/2017;Stefan Kleipoedszus;09/12/2017;
180;Benbenishty et al. - 2014 - Predicting the decisions of hospital based child protection teams to report to child protective services, po.pdf;PDF;143;Appr: QT Quantitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: Other, Rev: Included, Subj: CF Case Factors, Tool: QT Survey, Questionaire, Psy Test, Tool: VT Vignettes Critical Incident Technique;Aim/ Question: judgments made by hospital-based child protection teams (CPTs)when determining if there is reasonable suspicion that a child has been maltreated, andwhether to report the case to a community welfare agency, to child protective services (CPS)and/or to the police.Participants/ Sample: 968 consecutive cases referred to CPTs during 2010–2011 in six medical centers in Israel.Approach: QuantitativeResearch tools: SurveyFindings: Existing heterogeneity between cases, practitioners and medical centers had an impact on the overallpredictability of the decision to report.Locality/ Context: Israel;Stefan Kleipoedszus;09/12/2017;Stefan Kleipoedszus;09/12/2017;
181;Benbenishty et al. - 2015 - Decision making in child protection An international comparative study on maltreatment substantiation, risk.pdf;PDF;184;Appr: QT Quantitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: Europe, Loc: Other, Loc: UK, Rev: Included, Subj: DF Decision Maker Factors, Tool: QT Survey, Questionaire, Psy Test, Tool: VT Vignettes Critical Incident Technique;"Aim/ Question: The relationship between three independent domains of decision making. case characteristics, protective systems context, practitioner characteristicParticipants/ Sample: 828 practitioners from 4 countriesApproach: Quantitative Research tools: Survey; VignettesFindings: Practitioners child welfare attitudes were associated with substantiation, risk assessments and recommendations. Locality/ Context: Israel, Netherlands, Northern Ireland, Spain";Stefan Kleipoedszus;09/12/2017;Stefan Kleipoedszus;09/12/2017;
182;Benbenishty, Osmo, Gold - 2003 - Rationales Provided for Risk Assessments and for Recommended Interventions in Child Protection A Compar.pdf;PDF;191;Appr: QT Quantitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: Other, Loc: USA/ Canada, Rev: Included, Subj: DF Decision Maker Factors, Tool: QT Survey, Questionaire, Psy Test, Tool: VT Vignettes Critical Incident Technique;Aim/ Question: the structure and content of rationales given by social work profes- sionals for risk assessments and recommendations they make with regard to cases of children at riskParticipants/ Sample: 52 social workers from Israel and 67 from CanadaApproach: Quantitative/ SurveyResearch tools: QuestionaireFindings: most workers provided basic level arguments but did not supply complementary level argumentsLocality/ Context: Israel and Canada;Stefan Kleipoedszus;09/12/2017;Stefan Kleipoedszus;09/12/2017;
183;Benbenishty, Segev, Surkis - 2002 - Information-Search and Decision-Making by Professionals and Nonprofessionals in Cases of Alleged Chi.pdf;PDF;161;Appr: QT Quantitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: Other, Rev: Included, Subj: DF Decision Maker Factors, Tool: QT Survey, Questionaire, Psy Test;Aim/ Question: identify the ways in which deci- sion-makers search for information and use it to reach their risk-assessments and their recommendations of whether to remove children from homeParticipants/ Sample: social work professionals, social work trainees and nonprofessionalsApproach: QuantitativeResearch tools: Vignette and QuestionaireFindings:Locality/ Context: ;Stefan Kleipoedszus;09/12/2017;Stefan Kleipoedszus;09/12/2017;
187;Brisebois, Kernsmith, Idalski Carcone - 2013 - The Relationship Between Caseworker Attitudes About Kinship Care and Removal Decisions.pdf;PDF;120;Appr: QT Quantitative Studies, Dec_Typ: SD Strategy Decisions, Gr: Children, Loc: USA/ Canada, Rev: Included, Subj: DF Decision Maker Factors, Tool: QT Survey, Questionaire, Psy Test;Aim/ Question: This study examined professional attitudes about kinship care and the influence of those attitudes on removal decisions.Participants/ Sample: Caseworkers, Supervisors (n=192)Approach: QuantitativeResearch tools: SurveyFindings: A relationship was found between attitudes and the number of children removed from kinship homes.Locality/ Context: Canada;Stefan Kleipoedszus;09/12/2017;Stefan Kleipoedszus;09/12/2017;
188;Britner, Mossler - 2002 - Professionals' decision-making about out-of-home placements following instances of child abuse.pdf;PDF;172;Appr: QT Quantitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: USA/ Canada, Rev: Included, Subj: DF Decision Maker Factors, Tool: QT Survey, Questionaire, Psy Test, Tool: VT Vignettes Critical Incident Technique;Aim/ Question: how different groups of child welfare professionals prioritize and use information to make placement decisions following instances of child abuse.Participants/ Sample:  A total of 90 juvenile court judges and guardians ad litem, Court Appointed Special Advocates (CASA), social workers, and mental health professionalsApproach: QuantitativeResearch tools: detailed ques- tionnaire describing four case studies of child physical abuseFindings: professional groups use different kinds of information when making decisions about foster care placements.Locality/ Context: USA ;Stefan Kleipoedszus;09/12/2017;Stefan Kleipoedszus;09/12/2017;
192;Cameron, Statham - 2006 - Variations in duty arrangements to respond to concerns about children's welfare.pdf;PDF;127;Appr: QL Qualitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: UK, Rev: Included, Subj: OF Organisational Factors, Tool: VT Vignettes Critical Incident Technique;Aim/ Question: exploration of the arrangements local authorities had in place in early 2004 to receive referralsParticipants/ Sample: 70 social work managersApproach: QualitativeResearch tools: Interviews, VignetteFindings: Identified variations in responsesLocality/ Context: UK;Stefan Kleipoedszus;09/12/2017;Stefan Kleipoedszus;09/12/2017;
195;Clark, Wilkinson - 2003 - Decision Making by the Child Protection Team of a Medical Center.pdf;PDF;5;Appr: QT Quantitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: Other, Rev: Included, Subj: CF Case Factors, Tool: CF Case File Analysis, Tool: SA Statistical Analysis;"Aim/ Question: The decision whether to conclude that a child was at imminent risk Participants/ Sample: 139 casefilesApproach: QuantitativeResearch tools: Case File Analysis; Statistical AnalysisFindings: The characteristics of the family were stronger predictors of the decision than the characteristics of the child and of the event that brought the child to hospital. Locality/ Context: Israel";Stefan Kleipoedszus;09/12/2017;Stefan Kleipoedszus;09/12/2017;
197;Corby - 2003 - Supporting Families and Protecting Children.pdf;PDF;91;Appr: QT Quantitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: UK, Rev: Included, Subj: OF Organisational Factors, Tool: CF Case File Analysis;Aim/ Question: What was the impact of the refocussing debate on CP decision in 1997Participants/ Sample: 400 CP casesApproach: QuantitativeResearch tools: Casefile AnalysisFindings: There were no major differences found between the two pre-and post- refocusing sets of samples Locality/ Context: UK;Stefan Kleipoedszus;09/12/2017;Stefan Kleipoedszus;09/12/2017;
203;Darling et al. - 2016 - Divergent Views of Clients and Professionals Divergent Views of Clients and Professionals A Comparison of Respo.pdf;PDF;167;Appr: QT Quantitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: Other, Rev: Included, Subj: DF Decision Maker Factors, Tool: QT Survey, Questionaire, Psy Test, Tool: VT Vignettes Critical Incident Technique;Aim/ Question: identify the ways in which decision-makers search for information and use it to reach their risk-assessments and their recommendations of whether to remove children from homeParticipants/ Sample: 100 respondents each: certified social workers working toward their second degree, social work trainees, and students in the B.A. programApproach: QuantitativeResearch tools: VignettesFindings: information on signs of physical abuse had significant im- pact on risk-judgments, removal recommendations and information search patternsLocality/ Context: Israel;Stefan Kleipoedszus;09/12/2017;Stefan Kleipoedszus;09/12/2017;
206;Davidson-Arad - 2005 - Fifteen-month follow-up of children at risk Comparison of the quality of life of children removed from home and c.pdf;PDF;170;Appr: QT Quantitative Studies, Dec_Typ: SD Strategy Decisions, Rev: Included, Subj: CF Case Factors, Tool: VT Vignettes Critical Incident Technique;Aim/ Question: Does removal from home improve the quality of life for childrenParticipants/ Sample: 93 children at risk who were removed from home or kept at homeApproach: Longitudinal StudyResearch tools: QuestionairesFindings: the quality of life of the children who were removed from home improved incrementally over the 15 months, while that of the children who stayed at home remained at the same low level as at the first measureLocality/ Context: Israel;Stefan Kleipoedszus;09/12/2017;Stefan Kleipoedszus;09/12/2017;
209;Davidson-Arad, Benbenishty - 2016 - Child Welfare Attitudes, Risk Assessments and Intervention Recommendations The Role of Professional.pdf;PDF;165;Appr: QT Quantitative Studies, Dec_Typ: SD Strategy Decisions, Gr: Children, Loc: Other, Rev: Included, Subj: DF Decision Maker Factors, Tool: QT Survey, Questionaire, Psy Test, Tool: VT Vignettes Critical Incident Technique;"Aim/ Question: whether professionals’ status and experience moderate the relationships between their attitudes and their assessments and decisions on removalParticipants/ Sample: 210 workers and 263 social work studentsApproach: QuantitativeResearch tools: Attitudes Questionaire; VignetteFindings: Compared with students, practitioners were more against removal, more in favour of reunification and optimal duration, and had a less favourable view of residential careLocality/ Context: Israel ";Stefan Kleipoedszus;09/12/2017;Stefan Kleipoedszus;09/12/2017;
212;DeRoma et al. - 1997 - Influence of information related to child physical abuse on professional ratings of adjustment and prognosis.pdf;PDF;187;Appr: QT Quantitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: USA/ Canada, Rev: Included, Subj: CF Case Factors, Tool: QT Survey, Questionaire, Psy Test, Tool: VT Vignettes Critical Incident Technique;Aim/ Question: The study investigates the influence of access to information of a history of physical maltreatment on the evaluative responding of social service and clinical psychology professionals. Participants/ Sample: Twenty child protective service workers from a county department of social services agency in New York and 20 clinical psychology graduate students and professorsApproach: QuantitativeResearch tools: VignettesFindings:The findings verified the influence of information related to a history of maltreatment on professional judgments,Locality/ Context: USA;Stefan Kleipoedszus;09/12/2017;Stefan Kleipoedszus;09/12/2017;
213;DeRoma et al. - 2006 - Important risk factors in home-removal decisions Social caseworker perceptions.pdf;PDF;122;Appr: QT Quantitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: USA/ Canada, Rev: Included, Subj: CF Case Factors, Tool: ET Interview, Focus Group, Observation;Aim/ Question: The current study identified factors that played a significant role in decisions to separate a child from his/her primary caretakers for 51 social service caseworkers.Participants/ Sample: 51 social service caseworkersApproach: QualitativeResearch tools: Family Separation and Reunification Decision-Making AssessmentFindings: Results indicated that boundary setting with a perpetrator of abuse and parental motivation played a significant role in decision-making.Locality/ Context: USA;Stefan Kleipoedszus;09/12/2017;Stefan Kleipoedszus;09/12/2017;
216;Doherty - 2017 - Child protection threshold talk and ambivalent case formulations in ‘borderline’ care proceedings cases.pdf;PDF;169;Appr: QL Qualitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: UK, Rev: Included, Subj: OF Organisational Factors, Tool: ET Interview, Focus Group, Observation;"Aim/ Question: What makes a case one which is categorised as on the margin of care proceed- ings; how are cases resolved and what considerations appear criterial in resol- ving such cases?Participants/ Sample: child protection teams’ day-to- day work over a 12-month period, interviewed 62 practitioners and managers, and professionals from a range of agenciesApproach: EthnomethodologicalResearch tools: Observation; InterviewsFindings: While social workers and managers clearly invoked a threshold or line for compulsory action, their discussions demonstrated a range of factors about why it was not always easy to identify when this line had been crossed.Locality/ Context: UK ";Stefan Kleipoedszus;09/12/2017;Stefan Kleipoedszus;09/12/2017;
226;Giles et al. - 2007 - Clinical priorities Strengthening social work practice in health.pdf;PDF;164;Appr: MM Mixed Methods, Dec_Typ: CL Clincal Decisions, Gr: Adults, Gr: Children, Loc: Australia/ New Zealand, Rev: Included, Subj: DF Decision Maker Factors, Tool: ET Interview, Focus Group, Observation, Tool: QT Survey, Questionaire, Psy Test;"Aim/ Question: collect social workers’ understandings of priorities in their practice in health and to develop a common set of priorities for social workers to apply across a variety of health settingsParticipants/ Sample: 17 Social WorkersApproach: Qualitative and QuantitativeResearch tools: Cognitive Mapping; Survey; Focus GroupsFindings:Locality/ Context: Australia";Stefan Kleipoedszus;09/12/2017;Stefan Kleipoedszus;09/12/2017;
233;Helm - 2017 - Can I Have A Word Social Worker Interaction and Sense-Making.pdf;PDF;127;Appr: QL Qualitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: UK, Rev: Included, Subj: DF Decision Maker Factors, Tool: ET Interview, Focus Group, Observation;Aim/ Question: This paper explores the ways in which practitioners in children and family social work teams make sense of information in their work.Participants/ Sample: 27 social workers, senior social workers and social work assistants, supervised by seven team leaders under the overall management of a practice team managerApproach: EthnographyResearch tools: ObservationsFindings: The paper highlights the importance of informal interaction and discussion in the social work office as part of the process of social workers' sense-making.Locality/ Context: UK;Stefan Kleipoedszus;09/12/2017;Stefan Kleipoedszus;09/12/2017;
238;Howell - 2007 - Decisions with good intentions Substance use allegations and child protective services screening decisions.pdf;PDF;179;Appr: QT Quantitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Rev: Included, Subj: DF Decision Maker Factors, Tool: QT Survey, Questionaire, Psy Test;Aim/ Question: to investigate whether personal biases, values, and stereotypes surrounding parental drug use and race influenced screening decisionsParticipants/ Sample: 86 child welfare intake supervisorsApproach: QuantitativeResearch tools: VignettesFindings: decision-making patterns suggest that when their values and child welfare policies conflicted in their desire to protect children, supervisors were willing to compromise policy standards for initiating investigationsLocality/ Context: USA;Stefan Kleipoedszus;09/12/2017;Stefan Kleipoedszus;09/12/2017;
249;Karoll, Poertner - 2002 - Judges', caseworkers', and substance abuse counselors' indicators of family reunification with substance-affec.pdf;PDF;134;Appr: QT Quantitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: USA/ Canada, Rev: Included, Subj: CF Case Factors, Tool: QT Survey, Questionaire, Psy Test;Aim/ Question: identified indicators for safe reunification of children placed in foster care due to parental substance abuseParticipants/ Sample: 196 professionalsApproach: QuantitativeResearch tools: SurveyFindings: 97 indicators were identified: motivation, recovery, competency, parenting skills, lagel issuesLocality/ Context: USA;Stefan Kleipoedszus;09/12/2017;Stefan Kleipoedszus;09/12/2017;
251;Keddell - 2016 - Weighing it up family maintenance discourses in NGO child protection decision-making in AotearoaNew Zealand.pdf;PDF;128;Appr: QL Qualitative Studies, Dec_Typ: SD Strategy Decisions, Gr: Children, Loc: Australia/ New Zealand, Rev: Included, Subj: OF Organisational Factors, Tool: ET Interview, Focus Group, Observation;"Aim/ Question: This paper examines one of the major discourses used by social workers in decision reasoning in a non-governmental organization child protection context in Aotearoa/ New Zealand: family maintenanceParticipants/ Sample: 22 social workers and 15 other stakeholders including biological parents, foster parents and three young peopleApproach: QualitativeResearch tools: Interviews; Critical Incident TechniqueFindings: This study found that family main- tenance as a concept was strongly privileged by social workers. Locality/ Context: New Zealand";Stefan Kleipoedszus;09/12/2017;Stefan Kleipoedszus;09/12/2017;
252;Keddell - 2017 - Interpreting children’s best interests Needs, attachment and decision-making.pdf;PDF;151;Appr: QL Qualitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: Australia/ New Zealand, Rev: Included, Subj: CF Case Factors, Tool: ET Interview, Focus Group, Observation;"Aim/ Question: This article describes the content of ‘children’s best inter- ests’ discourses used by social workers and parents as part of decision-making rationales.Participants/ Sample: 37 Social WorkersApproach: QualitativeResearch tools: Interviews; Critical Incident TechniqueFindings: the construction of children’s ‘best interests’ was underpinned by concepts related to children’s needsLocality/ Context: New ZealandExcluded as focus is on best interest instead of actual decision making process.  ";Stefan Kleipoedszus;09/12/2017;Stefan Kleipoedszus;09/12/2017;
255;Koren-Karie, Sagi - 1992 - Professional decisions made by social workers regarding infant-mother attachment.pdf;PDF;158;Appr: QT Quantitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: Other, Rev: Included, Subj: CF Case Factors, Tool: QT Survey, Questionaire, Psy Test, Tool: VT Vignettes Critical Incident Technique;"Aim/ Question: examine the extent to which social workers rely on professional as opposed to nonprofessional criteria in their decision-making regarding the quality of mother-child interaction.Participants/ Sample: 90 Social WorkersApproach: QuantitativeResearch tools: Video Vignette; QuestionaireFindings: social workers who were told that the family was neglectful were more inclined than the others to describe negatively both the child and the mother as well as their relationship. Locality/ Context: Israel";Stefan Kleipoedszus;09/12/2017;Stefan Kleipoedszus;09/12/2017;
261;McLaughlin et al. - 2010 - Decision-making and evidence in direct practice.pdf;PDF;133;Appr: QL Qualitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Adults, Gr: Children, Loc: USA/ Canada, Rev: Included, Subj: DF Decision Maker Factors, Tool: ET Interview, Focus Group, Observation;"Aim/ Question: explore decision-making by direct practitio- ners in selected non-profit human service settings.Participants/ Sample: 40 social workersApproach: QualitativeResearch tools: InterviewsFindings: respondents relied most heavily on experience; on their professional values and beliefs, and on an empathic understanding of their clients’ uniquenessLocality/ Context: Canada ";Stefan Kleipoedszus;09/12/2017;Stefan Kleipoedszus;09/12/2017;
262;Meiksans, Iannos, Arney - 2015 - Factors influencing decision making about the placement of children in care Development of the Child Pl.pdf;PDF;281;Appr: QT Quantitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: Australia/ New Zealand, Rev: Included, Subj: OF Organisational Factors, Tool: QT Survey, Questionaire, Psy Test, Tool: VT Vignettes Critical Incident Technique;"Aim/ Question: to develop a tool based on the theory of planned behaviour framework, measuring the theoretical determinants of practitioner behav- iour; attitudes, subjective norms and perceived behavioural control, in order to examine the intention of child protection practitioners about placing children in out of home careParticipants/ Sample: 53 Child Protection WorkersApproach: Evaluation; QuestionaireResearch tools: VignettesFindings: Expert feedback that the scenario was typical of cases that occur in child protection indicates that the vignette has good face validity. Locality/ Context: Australia";Stefan Kleipoedszus;09/12/2017;Stefan Kleipoedszus;09/12/2017;
264;Monnickendam, Savaya, Waysman - 2005 - Thinking Processes in Social Workers' Use of a Clinical Decision Support System A Qualitative Stu.pdf;PDF;184;Appr: QL Qualitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: USA/ Canada, Rev: Included, Subj: OF Organisational Factors, Tool: ET Interview, Focus Group, Observation;Aim/ Question: the thinking processes in the use of a decision support system (DSS) by social workers in a human services agencyParticipants/ Sample: 8 Social WorkersApproach: QualitativeResearch tools: InterviewsFindings: ocial workers used the DSS in a perfunctory manner in typical cases, but as an aid to thinking and reflection in atypical casesLocality/ Context: USA;Stefan Kleipoedszus;09/12/2017;Stefan Kleipoedszus;09/12/2017;
270;Nikolova, Lwin, Fluke - 2017 - Attitudes on the Responsibility for Child Safety Key Child Protection Worker Characteristics.pdf;PDF;209;;Aim/ Question: What worker characteristics influence worker attitudes?Participants/ Sample: The total sample size from the two states is 1,781 child protection workers, of whom 37.8% (n = 673) were investigative workers and 62.2% (n = 1,108) were alternative response workers. Approach: QuantitativeResearch tools: Statistical AnalysisFindings: self-perception of skills, confidence in community resources, confidence in the child protection sys- tem, and worker age significantly predict worker attitude.Locality/ Context: USA;Stefan Kleipoedszus;09/12/2017;Stefan Kleipoedszus;09/12/2017;
271;Nurius, Kemp, Gibson - 1999 - Practitioners' Perspectives on Sound Reasoning.pdf;PDF;192;;Aim/ Question: what factors direct service practitioners see as characterizing, supporting, and compromising sound practice reasoningParticipants/ Sample: 69 practitionersApproach: Mixed MethodsResearch tools: SurveyFindings: One set of responses identified practitioner attributes that reflected a disposition toward openness, positivity, and flexibility.Locality/ Context: USA;Stefan Kleipoedszus;09/12/2017;Stefan Kleipoedszus;09/12/2017;
275;Pottick et al. - 2003 - Influence of Social Workers’ Characteristics on the Perception of Mental Disorder in Youths.pdf;PDF;241;;"Aim/ Question: assesses the influence of their social characteristics on judgments of mental disorder among youthsParticipants/ Sample: 250 Social Work StudentsApproach: QuantitativeResearch tools: Vignette; SurveyFindings: Minorities and women are less likely than nonminorities and men to judge that disorder is present, suggesting that they may be more sensitive than others to the consequences of labeling youths as having mental disorders. Diagnostic and Statistical Manual training removes differences between racial and ethnic groups.Locality/ Context: USA";Stefan Kleipoedszus;09/12/2017;Stefan Kleipoedszus;09/12/2017;
278;Regehr et al. - 2015 - Suicide risk assessments Examining influences on clinicians’ professional judgment.pdf;PDF;118;;Aim/ Question:  the degree to which the previous work-related experiences of clinicians and their preexisting emotional state influence professional judgment regarding acute risk in patients presenting with suicidal ideationParticipants/ Sample: 71 final year studentsApproach: QuantitativeResearch tools: QuestionaireFindings: This study revealed significant variations in clinical judgments of practitioners assessing suicide risk.Locality/ Context: Canada;Stefan Kleipoedszus;09/12/2017;Stefan Kleipoedszus;09/12/2017;
284;Sagi, Dvir - 1993 - Value biases of social workers in custody disputes.pdf;PDF;88;;Aim/ Question: More specifically, their recommendations concerning child custody in cases of divorce were assessed.Participants/ Sample: 216 Israeli Social WorkersApproach: QuantitativeResearch tools: VignettesFindings: subjects were value-biased in their judgments, even in cases in which the best interest of the child, as well as the knowledge now available on the subject, would suggest that the father should assume custody.Locality/ Context: Israel;Stefan Kleipoedszus;09/12/2017;Stefan Kleipoedszus;09/12/2017;
288;Schofield et al. - 2007 - The search for stability and permanence Modelling the pathways of long-stay looked after children.pdf;PDF;69;;Aim/ Question: Variation between LAC rates of Local AuthoritiesParticipants/ Sample: 24 Local AuthoritiesApproach: QuantitativeResearch tools: SurveyFindings: Considerable variation between the authorities in their rates of children starting to be looked afterLocality/ Context: UKExcluded from Sample as focus is on organisational decision making;Stefan Kleipoedszus;09/12/2017;Stefan Kleipoedszus;09/12/2017;
290;Sheppard et al. - 2000 - Reflexivity and the development of process knowledge in social work A classification and empirical study.pdf;PDF;138;;Aim/ Question: Participants/ Sample: Approach: Research tools: Findings:Locality/ Context: ;Stefan Kleipoedszus;09/12/2017;Stefan Kleipoedszus;09/12/2017;
291;Sieracki et al. - 2015 - The role of race, socioeconomic status, and System of Care services in placement decision-making.pdf;PDF;254;;"Aim/ Question: examine the potential influence of race (African American vs. Caucasian), socioeconomic status of the foster care environment (Low vs. High), and System of Care (SOC) services (System of Care/Wraparound Services vs. Treatment as Usual) on social workers' placement decisionsParticipants/ Sample: 231 social workers from IllinoisApproach: QuantitativeResearch tools: Vignette; SurveyFindings: No main effects of race, SES of the foster care environment, or treatment history on placement decisions were found.Locality/ Context: USA";Stefan Kleipoedszus;09/12/2017;Stefan Kleipoedszus;09/12/2017;
293;Smith - 2014 - Rethinking Decision Making An Ethnographic Study of Worker Agency in Crisis Intervention.pdf;PDF;264;;"Aim/ Question: Participants/ Sample: 36Approach: QualitativeResearch tools: Participant observation; semi-structured interviewsFindings: this study demonstrates that, while workers routinely employed specific in- tervention techniques taught in the TCI curriculum, they rarely reported using its step- by-step decision-making process. Locality/ Context: USA";Stefan Kleipoedszus;09/12/2017;Stefan Kleipoedszus;09/12/2017;
295;Stanley - 2013 - 'Our tariff will rise' Risk, probabilities and child protection.pdf;PDF;190;;"Aim/ Question: how New Zealand child protection social workers discussed decision-making about reported risks for children.Participants/ Sample:  70 child protec- tion social workersApproach: EthnographyResearch tools: Interviews; ObservationFindings: Social workers who participated in this study tended to treat risk as something that needed to be known early on in the case trajectory. Locality/ Context: New Zealand";Stefan Kleipoedszus;09/12/2017;Stefan Kleipoedszus;09/12/2017;
299;Sullivan et al. - 2008 - Perception of risk among child protection workers.pdf;PDF;68;;"Aim/ Question: Differences in ratings of the severity of risk for children involved in the child welfare system among less experienced and more experienced social workers are examined.Participants/ Sample: 63 Social WorkersApproach: QuantitativeResearch tools: Vignette; SurveyFindings: The findings indicate that social workers with different levels of experience do not differ in their perceptions of risk and in their decisions with regards to managing risk in the community. Increases in the number of children taken into care is not attributable to differential decision making based on experience.Locality/ Context: Canada";Stefan Kleipoedszus;09/12/2017;Stefan Kleipoedszus;09/12/2017;
